date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2026-03-26, 15:14:18	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:20	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:22	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:24	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:26	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:28	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:30	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:32	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:34	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:36	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:38	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:40	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:42	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:44	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:46	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:48	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:50	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:52	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:54	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:56	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:14:58	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2026-03-26, 15:15:00	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:02	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:04	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:06	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:08	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:10	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:12	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:14	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:16	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:18	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:20	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:22	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:24	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:26	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:28	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:30	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:32	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:34	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:36	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:38	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2026-03-26, 15:15:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
